method,k1,b,mean_P@5,mean_R@5,MAR,MAP,mean_MRR,mean_nDCG
BM25 k1=0.5 b=0.4,0.5,0.4,0.23000000000000004,0.2325,0.2325,0.19,0.6083333333333333,0.28184406016371416
BM25 k1=0.5 b=0.6,0.5,0.6,0.25,0.2525,0.2525,0.20299999999999999,0.6333333333333333,0.2855996639178548
BM25 k1=0.5 b=0.75,0.5,0.75,0.25,0.2525,0.2525,0.199,0.6083333333333333,0.2732103065009034
BM25 k1=0.5 b=0.85,0.5,0.85,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.5 b=0.9,0.5,0.9,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.5 b=1.0,0.5,1.0,0.25,0.2525,0.2525,0.20400000000000001,0.6083333333333333,0.2744421304595763
BM25 k1=1.0 b=0.4,1.0,0.4,0.23000000000000004,0.2325,0.2325,0.19333333333333333,0.6166666666666667,0.284223313035596
BM25 k1=1.0 b=0.6,1.0,0.6,0.26,0.2625,0.2625,0.20816666666666667,0.6166666666666667,0.3008145668797989
BM25 k1=1.0 b=0.75,1.0,0.75,0.27,0.2725,0.2725,0.20916666666666667,0.6016666666666667,0.2929279208272595
BM25 k1=1.0 b=0.85,1.0,0.85,0.27,0.2725,0.2725,0.20516666666666666,0.5766666666666667,0.28758111875610154
BM25 k1=1.0 b=0.9,1.0,0.9,0.27,0.2725,0.2725,0.20516666666666666,0.5766666666666667,0.2874292363163581
BM25 k1=1.0 b=1.0,1.0,1.0,0.27,0.2725,0.2725,0.213,0.5958333333333333,0.28624539100790175
BM25 k1=1.25 b=0.4,1.25,0.4,0.23000000000000004,0.2325,0.2325,0.19583333333333333,0.6166666666666667,0.28536243133367156
BM25 k1=1.25 b=0.6,1.25,0.6,0.26,0.2625,0.2625,0.20983333333333332,0.6166666666666667,0.301042390539414
BM25 k1=1.25 b=0.75,1.25,0.75,0.27,0.2725,0.2725,0.2058333333333333,0.5766666666666667,0.2870912061532599
BM25 k1=1.25 b=0.85,1.25,0.85,0.27,0.2725,0.2725,0.20683333333333334,0.5766666666666667,0.2867964882910666
BM25 k1=1.25 b=0.9,1.25,0.9,0.27,0.2725,0.2725,0.20566666666666666,0.5791666666666667,0.28690471551177354
BM25 k1=1.25 b=1.0,1.25,1.0,0.27,0.2725,0.2725,0.21216666666666667,0.5916666666666667,0.28692886198674705
BM25 k1=1.5 b=0.4,1.5,0.4,0.23000000000000004,0.2325,0.2325,0.19583333333333333,0.6166666666666667,0.28536243133367156
BM25 k1=1.5 b=0.6,1.5,0.6,0.26,0.2625,0.2625,0.20633333333333334,0.5916666666666667,0.29502585947441673
BM25 k1=1.5 b=0.75,1.5,0.75,0.27,0.2725,0.2725,0.2058333333333333,0.5766666666666667,0.28766492060986437
BM25 k1=1.5 b=0.85,1.5,0.85,0.27,0.2725,0.2725,0.20683333333333334,0.5766666666666667,0.2886190775679875
BM25 k1=1.5 b=0.9,1.5,0.9,0.27,0.2725,0.2725,0.21066666666666664,0.5958333333333333,0.2872080017916172
BM25 k1=1.5 b=1.0,1.5,1.0,0.28,0.28250000000000003,0.28250000000000003,0.22033333333333333,0.5916666666666667,0.2933694040590541
BM25 k1=1.75 b=0.4,1.75,0.4,0.23000000000000004,0.2325,0.2325,0.19583333333333333,0.6166666666666667,0.28536243133367156
BM25 k1=1.75 b=0.6,1.75,0.6,0.27,0.2725,0.2725,0.20833333333333334,0.6016666666666667,0.2979923382430707
BM25 k1=1.75 b=0.75,1.75,0.75,0.27,0.2725,0.2725,0.2058333333333333,0.5766666666666667,0.2893356274470419
BM25 k1=1.75 b=0.85,1.75,0.85,0.27,0.2725,0.2725,0.20566666666666666,0.5708333333333333,0.2868036992360429
BM25 k1=1.75 b=0.9,1.75,0.9,0.27,0.2725,0.2725,0.20983333333333332,0.5916666666666667,0.2860688834935416
BM25 k1=1.75 b=1.0,1.75,1.0,0.25,0.2525,0.2525,0.2058333333333333,0.5791666666666667,0.28243878614782497
BM25 k1=2.0 b=0.4,2.0,0.4,0.24,0.2425,0.2425,0.20183333333333336,0.6166666666666667,0.2984996944519963
BM25 k1=2.0 b=0.6,2.0,0.6,0.27,0.2725,0.2725,0.20833333333333334,0.6016666666666667,0.2979923382430707
BM25 k1=2.0 b=0.75,2.0,0.75,0.27,0.2725,0.2725,0.2058333333333333,0.5766666666666667,0.2884750557621352
BM25 k1=2.0 b=0.85,2.0,0.85,0.27,0.2725,0.2725,0.20566666666666666,0.5708333333333333,0.2868036992360429
BM25 k1=2.0 b=0.9,2.0,0.9,0.28,0.28250000000000003,0.28250000000000003,0.21633333333333332,0.5916666666666667,0.29228160190623353
BM25 k1=2.0 b=1.0,2.0,1.0,0.25,0.2525,0.2525,0.20249999999999999,0.5791666666666667,0.27799249910914053
